Sequence id,Sequence Description,gene_KO_number,organism id
0,>AT1G51370.2 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346,N.A.,ath:AT1G51370
78,>AT1G09430.1 | Symbols: ACLA-3 | ATP-citrate lyase A-3 | chr1:3042135-3044978 FORWARD LENGTH=424,K01648,sot:102588828
78,>AT1G09430.1 | Symbols: ACLA-3 | ATP-citrate lyase A-3 | chr1:3042135-3044978 FORWARD LENGTH=424,K01648,jcu:105647387
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,ath:AT1G44010
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,aly:ARALYDRAFT_314116
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,crb:CARUB_v10011134mg
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,aly:ARALYDRAFT_679299
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,ath:AT1G15640
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,ath:AT1G15620
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,crb:CARUB_v10010088mg
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,crb:CARUB_v10012152mg
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,crb:CARUB_v10012088mg
79,>AT1G44010.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15640.1); Has 211 Blast hits to 210 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 211; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16714656-16715504 FORWARD LENGTH=227,N.A.,eus:EUTSA_v10009791mg
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,ath:AT1G80360
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,aly:ARALYDRAFT_895958
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,crb:CARUB_v10020424mg
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,eus:EUTSA_v10018674mg
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,brp:103853264
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,brp:103832493
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,brp:103830431
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,rcu:RCOM_0895620
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,fve:101295244
80,>AT1G80360.1 | Symbols:  | Pyridoxal phosphate (PLP)-dependent transferases superfamily protein | chr1:30208736-30210643 REVERSE LENGTH=394,N.A.,pxb:103931295
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,ath:AT1G74720
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,aly:ARALYDRAFT_476609
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,crb:CARUB_v10019701mg
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,brp:103830687
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,eus:EUTSA_v10018050mg
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,pvu:PHAVU_003G192500g
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,jcu:105640495
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,cam:101490754
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,mtr:MTR_4g107850
81,>AT1G74720.1 | Symbols: QKY | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:28075173-28078418 FORWARD LENGTH=1081,N.A.,cmo:103482952
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,N.A.,eus:EUTSA_v10019244mg
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,N.A.,aly:ARALYDRAFT_475706
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,N.A.,brp:103852305
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,N.A.,brp:103831078
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,N.A.,crb:CARUB_v10021071mg
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,N.A.,ath:AT1G65970
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,N.A.,aly:ARALYDRAFT_475704
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,N.A.,crb:CARUB_v10021068mg
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,K03386,ath:AT1G60740
82,>AT1G65980.1 | Symbols: TPX1 | thioredoxin-dependent peroxidase 1 | chr1:24559524-24560753 REVERSE LENGTH=162,N.A.,eus:EUTSA_v10019251mg
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,ath:AT1G44000
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,aly:ARALYDRAFT_891373
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,crb:CARUB_v10010064mg
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,brp:103847714
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,eus:EUTSA_v10011724mg
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,jcu:105639018
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,cit:102607042
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,rcu:RCOM_0560060
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,csv:101219336
83,>AT1G44000.1 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G11911.1); Has 216 Blast hits to 212 proteins in 76 species: Archae - 0; Bacteria - 96; Metazoa - 0; Fungi - 0; Plants - 118; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:16708201-16709521 REVERSE LENGTH=260,N.A.,pper:PRUPE_ppa010416mg
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,ath:AT1G75260
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,aly:ARALYDRAFT_895393
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,crb:CARUB_v10020148mg
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,eus:EUTSA_v10018443mg
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,brp:103831985
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,tcc:TCM_034063
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,pop:POPTR_0002s03610g
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,rcu:RCOM_1594750
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,egr:104448766
84,>AT1G75260.1 | Symbols:  | oxidoreductases- acting on NADH or NADPH | chr1:28247854-28249395 FORWARD LENGTH=513,N.A.,cit:102614710
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,ath:AT1G54440
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,crb:CARUB_v10021920mg
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,aly:ARALYDRAFT_337734
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,brp:103844335
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,aly:ARALYDRAFT_355577
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,crb:CARUB_v10007233mg
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,ath:AT5G35910
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,eus:EUTSA_v10003636mg
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,brp:103868297
85,>AT1G54440.1 | Symbols:  | Polynucleotidyl transferase- ribonuclease H fold protein with HRDC domain | chr1:20323284-20327931 FORWARD LENGTH=637,K12591,pxb:103956250
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,ath:AT1G67150
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,aly:ARALYDRAFT_315734
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,eus:EUTSA_v10013719mg
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,crb:CARUB_v10020252mg
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,crb:CARUB_v10019619mg
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,crb:CARUB_v10023096mg
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,aly:ARALYDRAFT_315636
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,ath:AT2G44930
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,ath:AT1G65985
86,>AT1G67150.1 | Symbols:  | Plant protein of unknown function (DUF247) | chr1:25122588-25124607 FORWARD LENGTH=408,N.A.,brp:103862950
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,ath:AT1G14970
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,aly:ARALYDRAFT_471685
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,crb:CARUB_v10008744mg
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,eus:EUTSA_v10007261mg
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,brp:103842929
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,brp:103872287
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,crb:CARUB_v10016938mg
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,eus:EUTSA_v10000838mg
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,ath:AT2G01480
87,>AT1G14970.1 | Symbols:  | O-fucosyltransferase family protein | chr1:5162085-5164917 REVERSE LENGTH=562,N.A.,brp:103854071
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,ath:AT1G73470
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,crb:CARUB_v10020556mg
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,aly:ARALYDRAFT_895206
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,eus:EUTSA_v10018766mg
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,brp:103852847
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,cic:CICLE_v10020853mg
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,cit:102624759
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,tcc:TCM_013300
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,fve:101312837
88,>AT1G73470.1 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 72 Blast hits to 72 proteins in 35 species: Archae - 0; Bacteria - 50; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:27625208-27627604 FORWARD LENGTH=351,N.A.,pmum:103338901
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,ath:AT1G14960
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,aly:ARALYDRAFT_471684
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,brp:103872286
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,aly:ARALYDRAFT_680878
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,aly:ARALYDRAFT_471683
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,ath:AT1G14950
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,crb:CARUB_v10011506mg
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,aly:ARALYDRAFT_312489
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,eus:EUTSA_v10005071mg
89,>AT1G14960.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:5159334-5159992 REVERSE LENGTH=153,N.A.,ath:AT1G14930
90,>AT1G73460.1 | Symbols:  | Protein kinase superfamily protein | chr1:27620122-27624899 FORWARD LENGTH=1169,N.A.,ath:AT1G73460
90,>AT1G73460.1 | Symbols:  | Protein kinase superfamily protein | chr1:27620122-27624899 FORWARD LENGTH=1169,N.A.,aly:ARALYDRAFT_476480
